emis,name,province,district,circuit,phase,sector,phone,street_address,town_city,email,quintile
200500117,DANGENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 617 6417,"Amadiba A/A,Makhwantini Location,Bizana,4800",BIZANA,,Q1
200500124,DIAMOND JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,071 863 2439,"Amangutyana A/A,Dayimani Location,Bizana,4800",BIZANA,,Q1
200500125,DIDI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 358 7818,"Amangutyana A/A,Didi Location,Bizana,4800",BIZANA,,Q2
200500131,DLANGEZWA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,082 587 3180,"Amadiba A/A,Dlangezwa Location,Bizana,4800",BIZANA,,Q1
200500133,DLUNGWANA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,063 142 6691,"Isikelo Location,Bizana,Mbizana,4800",BIZANA,,Q3
200500138,DUDUMENI SENIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,076 207 4743,"Bokuveni A/A,Dudumeni Location,Bizana,4810",FLAGSTAFF,,Q1
200500146,DUMILE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 751 4332,"Amandela A/A,Ndela Location,Bizana,4800",BIZANA,,Q1
200500150,DUMSI  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,073 682 0448,"Amantshangase A/A,Dumsi Location,Bizana,4800",KOKSTAD,,Q1
200500154,DUTYINI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,073 627 4860,"Amangutyana A/A,Ntsimbini Location,Mbizana,4800",BIZANA,,Q1
200500156,DYIFANI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 565 8956,"Isikelo A/A,Ludeke Holt Location,Bizana,4800",BIZANA,,Q1
200500158,EBENEZER JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,078 823 6506,"Amadiba A/A,Lurholweni Location,Bizana,4800",PORT EDWARD,,Q3
200500159,EBLORWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 772 2710,"Nkantolo A/A,Eblorweni Location,Bizana,4800",BIZANA,,Q1
200500167,ELITYENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,071 811 1580,"Amadiba A/A,Elityeni Location,Bizana,4800",BIZANA,,Q1
200500173,ELUTHULINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 476 3497,"Amangutyana A/A,Luthulini Location ,Bizana,4800",BIZANA,,Q1
200500175,EMABHEKUTENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,,"Amakhanyayo A/A,Emabhekuteni Location ,Bizana,4800",BIZANA,,Q1
200500183,EMAZWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,067 868 0169,"Ludeke Mission,Esikhumbeni A/A,Bizana,4800",BIZANA,,Q1
200500184,EMBANDANA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 696 6698,"Imizizi A/A,Mnyaka Location,Bizana,4800",REDOUBT,,Q1
200500186,EMBOBENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,072 128 4520,"Isikelo A/A ,Embobeni Location,Bizana,4800",BIZANA,,Q2
200501360,EMCETENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,078 794 0055,"Ntlenzi A/A,Emcetheni Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500188,EMDENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,071 908 2499,"Isikelo A/A,Ludeke Location ,Bizana,4800",BIZANA,,Q2
200500189,EMDIKISWENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 589 9576,"Qasa A/A,Emdikisweni Location,Bizana,4810",FLAGSTAFF,,Q1
200500191,EMGODINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,076 707 2369,"Thekwini A/A,Thekwini Location,Bizana,4800",BIZANA,,Q1
200500192,EMHLANGA PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 477 9263,"Ntshamathe A/A,Mhlanga Location,Bizana,4800",BIZANA,,Q3
200500196,EMTAMVUNA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 290 7971,"Isikelo A/A,Mtamvuna Location,Bizana,4800",BIZANA,,Q1
200500205,ENQABENI  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,076 941 8445,"Enqabeni A/A,Enqabeni Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500208,ENYANISWENI  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,072 680 7051,"Monti A/A,Bizana,Bizana,4800",BIZANA,,Q2
200500211,ESIGODLWENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,079 295 0476,"Qasa A/A,Sigodlweni Location,Bizana,4810",FLAGSTAFF,,Q1
200500216,ESINYAMENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Nqutu A/A,Goxe A/A,Bizana,4735",MOUNT AYLIFF,,Q1
200500217,ESITOFINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 768 1095,"Amangutyana A/A,Ntsimbini Location,Bizana,4800",MBIZANA,,Q2
200500220,ETALENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 620 8369,"Izilangwe A/A,Izilangwe,Bizana,4800",BIZANA,,Q1
200500222,ETHRIDGE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 866 1125,"Imizizi A/A,Redoubt Location,Redoubt,4801",BIZANA,,Q1
200500227,EZIZITYANENI FULL SERVICE SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,082 524 4251,"Esikhumbeni A/A,Ezizityaneni Location,Bizana,4800",BIZANA,,Q1
200500238,FREE METHODIST  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 353 4601,"Imizizi A/A ,Izikhuba Location ,Bizana,4800",MBIZANA,,Q1
200500241,GALATYENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 697 9823,"Bokuveni A/A,Galatyeni Location,Bizana,4810",FLAGSTAFF,,Q1
200500247,GCINISIZWE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,072 360 6120,"Amadiba A/A ,Gcinisizwe Location,Bizana,4800",BIZANA,,Q1
200500252,GECELO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 475 1776,"Izinini A/A,Ndunge Location,Bizana,4800",BIZANA,,Q1
200500266,GOXE PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,076 301 8212,"Goxe A/A,Mbuthweni Location,Bizana,4800",MOUNT AYLIFF,,Q1
200500270,GREENVILLE  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,079 973 8719,"Etyeni A/A,Greenville Location,Bizana,4800",BIZANA,,Q1
200500269,GREENVILLE PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,082 208 0235,"Etyeni A/A,Greenville Location,Bizana,4800",BIZANA,,Q1
200500278,GUMZANA  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,083 299 4346,"Gumzana Location,Amadiba A/A,Bizana,4800",PORT EDWARD,,Q1
200500280,GUQA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 441 8611,"Izinini A/A,Guqa Location,Bizana,4800",BIZANA,,Q1
200500282,GWALA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 736 4017,"Isikelo A/A,Bizana,Mbizana,4800",BIZANA,,Q1
200500300,HLAMANDANA  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,073 154 9014,"Isikelo A/A,Embobeni Location,Bizana,4800",BIZANA,,Q2
200500320,IMFOLOZI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 750 2286,"Imizizi A/A,Makewini Location,Bizana,4800",BIZANA,,Q1
200500323,INTSINGIZI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,039 880 0102,"Amanikhwe Location,Bizana,Bizana,4800",BIZANA,,Q2
200501603,ITHUBA WILDCOAST COMMUNITY COLLEGE,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Independent,073 916 0603,"Amadiba Aa,Mzamba Mouth Location,Bizana,4800",PORT ELIZABETH,,
200500327,IZIBANZINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 750 9465,"Amantshangase A/A,Izibanzini Location,Bizana,4800",BIZANA,,Q1
200500328,IZWELETHU  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 346 2428,"Imizizi A/A,Mxhotsheni Location,Bizana,4295",BIZANA,,Q1
200500330,JALI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 913 8244,"Isisele A/A,Jali Location,Bizana,4800",BIZANA,,Q1
200500331,JAMA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,072 993 5951,"Amadiba A/A,Jama Location,Bizana,4800",BIZANA,,Q1
200500345,KANTOLO JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 363 5637,"Isikelo A/A,Nkantolo Location,Bizana,4800",BIZANA,,Q1
200500346,KANYAYO JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,082 369 1803,"Amakhanyayo A/A,Khanyayo Location,Bizana,4800",BIZANA,,Q1
200500354,KHALENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 954 0269,"Isikelo A/A,Khaleni Location,Bizana,4800",BIZANA,,Q3
200501406,KHANYISANI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 348 1788,"Imiziz A/A,Nyaka Location,Bizana,4295",BIZANA,,Q2
200500360,KHOTSHO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,063 453 4556,"Amangutyana A/A,Monti Location,Bizana,4800",BIZANA,,Q1
200500362,KHUMBUZA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,073 547 3549,"Amadiba A/A,Khumbuza Location,Bizana,4800",BIZANA,,Q1
200500365,KOPANA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Amangutyana A/A,Monti Location,Bizana,4800",MBIZANA,,Q1
200500368,KU-BHA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 976 0239,"Bokuven A/A,Ku-Bha Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500393,LALENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,064 169 7060,"Goxe A/A,Mbuthweni,Bizana,4800",KOKSTAD,,Q1
200500411,LANGALETHU PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 337 7998,"Hlolweni A/A,Dotye Location,Bizana,4800",PORT EDWARD,,Q1
200500410,LINDOKUHLE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 427 0213,"Imizizi A/A,Redoubt ,Bizana,4800",BIZANA,,Q1
200500413,LINGELETHU  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 191 1731,"Amadiba A/A,Seaview Location,Bizana,4800",BIZANA,,Q3
200501463,LITTLE EDEN JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Independent,082 567 2646,"Amadiba A/A,Izikhuba Location,Bizana,4800",BIZANA,,
200501402,LONGWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 335 1954,"Nkantolo A/A,Kwazulu Location,Bizana,4800",BIZANA,,Q1
200501363,LOWER MKHOMANE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 586 5405,"Tekwini A/A ,Mcijweni Location,Bizana,4810",FLAGSTAFF,,Q1
200500445,LUCWABA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,076 484 2137,"Ntlenzi A/A,Lucwaba,Flagstaff,4810",FLAGSTAFF,,Q1
200500446,LUDEKE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,082 535 8578,"Isikelo A/A,Ludeke Location,Bizana,4800",BIZANA,,Q2
200500456,LUGWIJINI FULL SERVICE SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 433 9235,"Imizizi A/A,Mbizana,4800",BIZANA,,Q1
200501405,LUKHANYO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Amantshangase A/A,Dumsi Location,Mbizana,4800",BIZANA,,Q1
200500462,LUKHOLO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 710 3815,"Imizizi A/A, Lukholo Location,Bizana,4800",BIZANA,,Q1
200500464,LUNA FULL SERVICE SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,082 200 7959,"Imizizi A/A,Mnyaka Location,Bizana,4800",BIZANA,,Q2
200501380,LUNDINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 464 5306,"Amadiba A/A,Lundini Location,Bizana,4800",BIZANA,,Q1
200500468,LUPHANDLASI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Thekwini A/A,Thekwini Location,Flagstaff,4810",FLAGSTAFF,,Q1
200501384,LUPILISWENI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,072 850 3316,"Bukuveni A/A,Luphilisweni Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500476,LUSINDISWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,063 870 7373,"Amandengane A/A,Chithwayo,Bizana,4800",BIZANA,,Q1
200500498,MABUTO JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,083 624 2191,"Isikelo A/A,Nkantswini Location,Bizana,4800",BIZANA,,Q1
200501396,MADADANA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 965 5290,"Imizizi A/A,Madadana Location,Bizana,4800",MBIZANA,,Q1
200501410,MADIKIZELA SENIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,072 130 5438,"Ntsimbini A/A,Dutyini Location,Bizana,4800",BIZANA,,Q1
200500506,MAFADOBO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,066 125 3623,"Goxe A/A,Emajobeleni Location,Bizana,4800",KOKSTAD,,Q1
200500523,MAHAHA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,073 265 1493,"Amadiba A/A,Mahaha Location,Bizana,4800",BIZANA,,Q1
200500529,MAJAVU  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,083 928 3653,"Esikumbeni A/A,Siwisa Location,Bizana,4800",BIZANA,,Q1
200500530,MAJAZI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 535 8797,"Esikhumbeni A/A,Majazi Location ,Bizana,4800",BIZANA,,Q2
200500539,MAKOSONKE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,071 817 0554,"Amandengene A/A,Makhosonke Location,Bizana,4800",BIZANA,,Q1
200500562,MANDLOBE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 649 0460,"Qasa A/A,Mandlobe Location,Flagstaff,4810",FLAGSTAFF,,Q1
200500573,MAPAKATI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 402 1686,"Ntlenzi A/A,Dinda Location,Bizana,4800",FLAGSTAFF,,Q1
200500577,MAQONGWANA  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,076 958 7918,"Amadiba A/A,Makwantini Location,Bizana,4800",BIZANA,,Q1
200500580,MARELANE  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,064 512 2313,"Isikelo A/A,Ludeke Location,Bizana,4800",BIZANA,,Q1
200500583,MARINA  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,078 831 8279,"Umgungundlovu A/A,Seaview Loction,Bizana,4800",BIZANA,,Q1
200500598,MATSHEZI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,067 102 3694,"Ntlezi A/A,Tshuze Location,Bizana,4800",FLAGSTAFF,,Q1
200500601,MATWEBU FULL SERVICE SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 335 7608,"Monti A/ A,Bizana,Bizana,4800",MBIZANA,,Q2
200500609,MBABAZO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,084 824 2913,"Amanikhwe A/A,Ntlozelo Location,Bizana,4800",BIZANA,,Q1
200500615,MBEKWA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 894 6618,"Amampisi A/A,Mpisi Location,Bizana,4800",BIZANA,,Q1
200500616,MBIBA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,082 725 5084,"Amantshangase A/A,Mbiba Location,Bizana,4810",FLAGSTAFF,,Q1
200500625,MBONGWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 495 0456,"Amangutyana A/A,Mbongweni Location,Bizana,4800",BIZANA,,Q1
200500631,MBUNGWA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 732 4354,"Amangutyana A/A,Mpetsheni Location,Bizana,4800",BIZANA,,Q1
200500638,MDATYA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 598 3953,"Mgungudlovu A/A,Vulindlela Location,Bizana,4800",BIZANA,,Q1
200500639,MDATYA  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,082 516 9175,"Amadiba A/A,Mdatya Village,Bizana,4800",BIZANA,,Q1
200500640,MDELWA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,073 164 9779,"Umkolora A/A,Nonja Location,Bizana,4800",BIZANA,,Q1
200500643,MDIKISO  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,078 156 0430,"Kantolo A/A ,Mdikiso Location,Bizana,4800",BIZANA,,Q1
200500651,MEJE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 494 4299,"Amangutyana A/A,Ward 14,Bizana,4800",BIZANA,,Q1
200500657,MFUNDAMBINI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,,"Nqabeni A/A,Mfundambini Location,Bizana,4800",FLAGSTAFF,,Q1
200500660,MFUNELI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 656 0229,"Imizizi A/A,Bizana,Mbizana,4800",BIZANA,,Q1
200500666,MGOMANZI PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 367 0106,"Amangutyana A/A,Mgomanzi Location,Bizana,4800",BIZANA,,Q1
200500669,MGWEDE JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,063 514 7992,"Amadiba A/A,Makhwantini Location,Bizana,4800",BIZANA,,Q1
200500672,MHLABI JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,078 383 0077,"Amangutyana A/A,Ndlovu Location,Bizana,4800",BIZANA,,Q1
200500673,MHLABUVELILE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 321 3716,"Isikelo A/A,Ludeke Location,Bizana,4800",BIZANA,,Q2
200500683,MJANYELWA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 730 0004,"Abetshwawu A/A,Dindini Location,Bizana,4800",BIZANA,,Q2
200500905,MKAMBATI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 730 9786,"Nquthu A/A,Mkhambathi Location,Bizana,4800",KOKSTAD,,Q1
200500699,MKOMANE SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,066 137 4284,"Thekwini A/A,Galatyeni Location,Bizana,4810",BIZANA,,Q1
200500703,MLAMBONDABA  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 692 5885,"Izilangwe A/A,Silangwe Location,Bizana,4800",BIZANA,,Q1
200500705,MLINDAZWE  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,083 588 1760,"Amampisi A/A,Mpisi Location ,Bizana,4800",MBIZANA,,Q1
200500707,MMANGWENI  PRIMARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,073 159 4910,"Isikelo A/A,Mmangweni Location,Bizana,4800",BIZANA,,Q2
200500712,MNCWATI  SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Secondary,Public,083 558 3446,"Amandengane A/A,Amandengane Location,Bizana,4800",BIZANA,,Q1
200500713,MNDELA JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Primary,Public,082 752 8792,"Ntshamathe A/A,Dindini Location,Bizana,4800",BIZANA,,Q3
200500721,MNGUNGU JUNIOR SECONDARY SCHOOL,Eastern Cape,ALFRED NZO EAST,Unknown,Combined,Public,063 106 7388,"Amadiba A/A,Mngungu Location,Bizana,4800",BIZANA,,Q1
